id,organizationId,name,description,dimension,priority,adoptionRate,behaviorCount,createdAt,updatedAt
76a5e3c7-bb7f-4e3f-bf4d-03df55b0a861,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,Accountability,Champion accountability across the organization,Individual,5,84.2,375,2025-01-17T20:33:44.204085,2025-11-17T20:33:44.204088
486cdf1f-d81e-4a7b-acf3-57a4e37ba1b2,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,Innovation,Embrace innovation across the organization,Team,2,62.9,378,2025-03-09T20:33:44.204099,2025-11-17T20:33:44.204101
49fb2059-937a-45d2-b3b9-54c989062d4a,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,Respect,Cultivate respect across the organization,Individual,5,60.5,267,2025-07-24T20:33:44.204110,2025-11-17T20:33:44.204112
5c86f0eb-ce7d-4fa3-b374-c89968b0409f,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,Transparency,Champion transparency across the organization,Individual,5,94.0,498,2025-01-26T20:33:44.204140,2025-11-17T20:33:44.204142
fd9fb5cd-a01f-48d2-b849-c5d01b091efe,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,Customer Focus,Foster customer focus across the organization,Team,3,82.5,169,2025-03-05T20:33:44.204154,2025-11-17T20:33:44.204156
b4eaf3de-da4d-4a9e-8b9c-c8dd96075526,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,Empowerment,Foster empowerment across the organization,Organizational,4,40.4,112,2025-03-23T20:33:44.204170,2025-11-17T20:33:44.204172
0c41d23e-33b4-4059-abb0-b7c2cde8e5be,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,Agility,Create agility across the organization,Team,5,53.3,198,2024-12-10T20:33:44.204180,2025-11-17T20:33:44.204182
ae38ae1f-3c20-4539-b3be-7777890333f0,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,Integrity,Embrace integrity across the organization,Organizational,5,81.8,135,2025-06-03T20:33:44.204194,2025-11-17T20:33:44.204196
e61fe1d1-2125-4b09-847f-0564ad57c2ca,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,Diversity,Drive diversity across the organization,Team,1,52.8,187,2025-08-15T20:33:44.204204,2025-11-17T20:33:44.204207
0a4729ee-9450-44ca-83ec-ead132b508fd,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,Sustainability,Pursue sustainability across the organization,Individual,4,86.7,382,2025-03-15T20:33:44.204227,2025-11-17T20:33:44.204231
6da92f7a-ec8a-42fe-8b42-f0fcfb9659aa,14ce0afd-539f-4aef-b356-cb0d114c156f,Sustainability,Demonstrate sustainability across the organization,Organizational,4,83.3,71,2024-12-04T20:33:44.228340,2025-11-17T20:33:44.228342
5fbcba79-ec4b-47b8-b5b6-438067636169,14ce0afd-539f-4aef-b356-cb0d114c156f,Collaboration,Champion collaboration across the organization,Individual,4,42.1,17,2024-12-11T20:33:44.228352,2025-11-17T20:33:44.228354
09795354-822a-41a2-a915-d197a8cff698,14ce0afd-539f-4aef-b356-cb0d114c156f,Innovation,Foster innovation across the organization,Individual,4,45.5,340,2025-04-28T20:33:44.228363,2025-11-17T20:33:44.228365
d8383808-5d9e-4d69-b271-88a49f875a74,14ce0afd-539f-4aef-b356-cb0d114c156f,Accountability,Build accountability across the organization,Organizational,5,74.8,103,2025-07-05T20:33:44.228372,2025-11-17T20:33:44.228374
39610e17-4d19-464d-875c-3546754c828f,14ce0afd-539f-4aef-b356-cb0d114c156f,Agility,Enable agility across the organization,Organizational,4,90.8,400,2025-04-07T20:33:44.228385,2025-11-17T20:33:44.228387
8d41b880-75b3-43db-90c9-f5e1fb1c5aac,14ce0afd-539f-4aef-b356-cb0d114c156f,Transparency,Build transparency across the organization,Team,4,66.3,176,2025-01-05T20:33:44.228399,2025-11-17T20:33:44.228401
4a61e0b7-add8-4a1f-99c1-2e3b7efb4436,14ce0afd-539f-4aef-b356-cb0d114c156f,Excellence,Cultivate excellence across the organization,Individual,2,51.5,120,2025-06-02T20:33:44.228408,2025-11-17T20:33:44.228409
45bf66d6-8c06-4195-8753-2716b7d69c07,14ce0afd-539f-4aef-b356-cb0d114c156f,Respect,Champion respect across the organization,Individual,5,40.9,64,2025-03-23T20:33:44.228416,2025-11-17T20:33:44.228418
2a00fccb-77b3-4281-9237-c43ad8d4c7e5,73b8f40c-8497-4466-9fa2-3e7d49686bf1,Empowerment,Pursue empowerment across the organization,Individual,3,50.6,321,2024-12-28T20:33:44.251997,2025-11-17T20:33:44.251999
840c2bed-aa80-4665-9eec-6c951a677264,73b8f40c-8497-4466-9fa2-3e7d49686bf1,Excellence,Cultivate excellence across the organization,Team,4,78.9,277,2025-05-03T20:33:44.252008,2025-11-17T20:33:44.252010
ffe5d46a-0c3c-402c-ae94-82b5ed764a82,73b8f40c-8497-4466-9fa2-3e7d49686bf1,Diversity,Pursue diversity across the organization,Individual,4,92.7,460,2025-05-09T20:33:44.252020,2025-11-17T20:33:44.252022
edba8a1c-e5a7-48d6-936c-bb2d4bf3d276,73b8f40c-8497-4466-9fa2-3e7d49686bf1,Integrity,Build integrity across the organization,Team,1,76.1,178,2025-02-22T20:33:44.252034,2025-11-17T20:33:44.252036
586f195e-cf86-437f-a5a1-1d4881501b3e,73b8f40c-8497-4466-9fa2-3e7d49686bf1,Sustainability,Demonstrate sustainability across the organization,Team,5,63.8,458,2025-04-15T20:33:44.252044,2025-11-17T20:33:44.252056
3c356bd2-12a8-4f5b-b071-b4a69cffd327,73b8f40c-8497-4466-9fa2-3e7d49686bf1,Innovation,Embrace innovation across the organization,Organizational,5,59.5,463,2024-11-17T20:33:44.252083,2025-11-17T20:33:44.252085
c1d3907a-971a-410c-9a0c-9532cbfc3f75,16515368-eaa7-4613-9890-9e32f0aeb2ba,Transparency,Cultivate transparency across the organization,Team,5,83.3,56,2025-04-18T20:33:44.266401,2025-11-17T20:33:44.266403
52d539c7-88a0-46cc-a7c6-1aea3225e0d2,16515368-eaa7-4613-9890-9e32f0aeb2ba,Respect,Build respect across the organization,Organizational,1,46.4,170,2025-02-27T20:33:44.266412,2025-11-17T20:33:44.266415
56f2daba-6761-4486-809d-d0f6e0e49f5a,16515368-eaa7-4613-9890-9e32f0aeb2ba,Diversity,Enable diversity across the organization,Team,5,55.2,61,2025-02-11T20:33:44.266425,2025-11-17T20:33:44.266427
