id,organizationId,departmentId,teamId,role,tenureMonths,engagementScore,culturalContributions,recognitionsReceived,recognitionsGiven,lastActiveDate,createdAt,updatedAt
b81bdfff-48ab-e31f-42fd-b441028542a7,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,f720aefd-80f4-4741-983b-28e1a372a940,99d852f9-4d6c-485e-9809-34797c756045,Senior Manager,101,66.4,45,9,15,2025-11-09T20:33:44.197220,2017-08-01T20:33:44.197223,2025-11-17T20:33:44.197225
5313c230-c504-6352-1b47-eabad3151500,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,cf9519f5-92ec-45a6-90fa-06b83a4f0bed,19530b4d-f697-4584-8f10-6dfbd203f98d,C-Level,52,44.8,9,7,24,2025-10-26T20:33:44.197249,2021-08-10T20:33:44.197251,2025-11-17T20:33:44.197252
a0e79408-b068-9015-d012-1408adb3b687,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,1f436dfd-fea0-4fed-a6da-3754b2056395,be8eb1e4-abcf-4ce0-b3e8-450f0ccfb58f,Senior Contributor,116,64.9,21,17,29,2025-11-04T20:33:44.197266,2016-05-08T20:33:44.197268,2025-11-17T20:33:44.197269
f6efe8d8-5e75-ea43-7692-b7d64e21520a,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,608513f1-0dde-4227-ab3f-13865381afed,c49aa11e-db7f-420f-a437-9ad345a967bd,Senior Director,37,63.4,49,18,1,2025-10-21T20:33:44.197298,2022-11-03T20:33:44.197300,2025-11-17T20:33:44.197301
30c56883-73a1-0b92-ccd3-9ffe3a47565e,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,5bd79c11-1f6b-45c7-8e71-27911410fe55,49c90644-4000-4cfc-b457-a17c8d479735,Individual Contributor,61,96.6,19,24,24,2025-10-21T20:33:44.197315,2020-11-13T20:33:44.197317,2025-11-17T20:33:44.197318
9641a5ae-ee34-5452-944b-6851d81d5cad,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,60230a8d-1608-434c-b149-8dbca9a7301c,ea5c87fa-fd7c-4a9c-8898-faa70eaa6790,C-Level,85,88.0,14,15,14,2025-11-09T20:33:44.197331,2018-11-24T20:33:44.197333,2025-11-17T20:33:44.197335
877e54c8-fbf3-5fea-8370-6f865fffcafd,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,60230a8d-1608-434c-b149-8dbca9a7301c,59c2ba49-afd2-4a90-97f1-08cbd6e9ab47,Senior Director,77,60.2,43,25,25,2025-10-25T20:33:44.197348,2019-07-22T20:33:44.197350,2025-11-17T20:33:44.197351
2860bcd7-14a9-77c7-60b9-58fe2d4b7492,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,1f436dfd-fea0-4fed-a6da-3754b2056395,69f1a17d-1676-4e47-bde0-07485bf50491,Team Lead,149,98.8,34,0,25,2025-10-30T20:33:44.197379,2013-08-22T20:33:44.197381,2025-11-17T20:33:44.197383
7f4876ca-5d39-c4ba-aaac-e8896d6b09ca,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,5bd79c11-1f6b-45c7-8e71-27911410fe55,a7d84145-4673-495a-abfb-0710fa8e60e2,Senior Contributor,108,78.6,8,27,29,2025-11-12T20:33:44.197407,2017-01-03T20:33:44.197409,2025-11-17T20:33:44.197411
6511b013-b3ab-652b-7257-f6a88a31272c,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,608513f1-0dde-4227-ab3f-13865381afed,2bf8a6fd-2e20-46fa-8f15-ae7919c1e843,Director,44,52.7,20,10,24,2025-11-09T20:33:44.197424,2022-04-07T20:33:44.197426,2025-11-17T20:33:44.197428
4adb5483-f840-3001-7475-eac09f12794f,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,60230a8d-1608-434c-b149-8dbca9a7301c,23856e13-646c-4572-9d53-9991f5ee567d,Senior Contributor,43,68.2,47,17,3,2025-10-18T20:33:44.197440,2022-05-07T20:33:44.197441,2025-11-17T20:33:44.197443
cf00b0df-13ac-af92-b9bb-dfd85414ad47,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,cf9519f5-92ec-45a6-90fa-06b83a4f0bed,d0f47e6b-bc07-4075-98e3-33b9c13dce31,Senior Contributor,39,86.9,41,1,1,2025-10-18T20:33:44.197454,2022-09-04T20:33:44.197456,2025-11-17T20:33:44.197458
fa3f9fe6-3437-54f1-aa79-1a679751bbea,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,8c802c61-3bef-4c64-8842-37a093ebd2f5,c2b76947-3ad7-4166-95d8-42889dba4286,Individual Contributor,36,77.3,15,4,30,2025-10-27T20:33:44.197469,2022-12-03T20:33:44.197471,2025-11-17T20:33:44.197472
490253b5-35d5-b5a1-9235-49161a4684ad,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,d7d41c03-3c0a-465b-991c-b59c064b53fa,a6ef3227-e821-4b0f-8e11-c0c989211351,Manager,89,67.9,16,24,23,2025-11-12T20:33:44.197487,2018-07-27T20:33:44.197489,2025-11-17T20:33:44.197490
7a058448-8e9a-8825-8404-add155fbfb1e,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,5bd79c11-1f6b-45c7-8e71-27911410fe55,367eda93-67a4-4734-bf1c-946100310e7f,Senior Contributor,97,86.7,10,30,19,2025-11-14T20:33:44.197501,2017-11-29T20:33:44.197503,2025-11-17T20:33:44.197506
ffe04aad-c5c2-278c-ca49-22aefe14880b,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,5bd79c11-1f6b-45c7-8e71-27911410fe55,edd4be1a-c778-43ef-8473-e1d019bd7614,Senior Manager,12,74.5,24,12,12,2025-11-15T20:33:44.197517,2024-11-22T20:33:44.197519,2025-11-17T20:33:44.197520
61934049-05e8-7ab3-135b-cd61fd16eb06,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,5bd79c11-1f6b-45c7-8e71-27911410fe55,69c1743e-8326-4671-b86b-146667a52bec,Manager,113,46.1,49,9,38,2025-10-23T20:33:44.197532,2016-08-06T20:33:44.197534,2025-11-17T20:33:44.197535
a51397cc-9e71-e139-c73b-22d00db85d17,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,d7d41c03-3c0a-465b-991c-b59c064b53fa,025f917c-aa88-4d34-93c7-411b22d37a5c,Individual Contributor,137,60.8,27,21,23,2025-11-15T20:33:44.197547,2014-08-17T20:33:44.197549,2025-11-17T20:33:44.197550
3bd2e285-699d-e06e-d2ec-4a161b2059bd,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,007addd6-6e3d-4357-8aca-f05fdecdf24e,b186d730-3537-40b6-940e-98de54e20e96,Individual Contributor,105,91.0,31,3,27,2025-10-18T20:33:44.197562,2017-04-03T20:33:44.197564,2025-11-17T20:33:44.197566
009e90c0-25c5-3b70-9329-99929b56c3c1,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,cf9519f5-92ec-45a6-90fa-06b83a4f0bed,fcacbef7-3ce0-4c9c-b821-5df8c52b0c08,VP,102,82.4,27,5,33,2025-10-18T20:33:44.197578,2017-07-02T20:33:44.197580,2025-11-17T20:33:44.197581
7a042743-8fae-6db0-af5c-3d69095ec526,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,ed2e361d-08cf-4d89-8eb7-02052e17e7b4,2aaf204a-2ffd-4019-b229-bbb92b5aba0a,C-Level,99,86.5,29,13,37,2025-11-09T20:33:44.197593,2017-09-30T20:33:44.197595,2025-11-17T20:33:44.197596
85a24fc2-fd68-6d27-d738-efd6349deb74,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,cf9519f5-92ec-45a6-90fa-06b83a4f0bed,977771c8-1916-43ea-b78d-4bb69a28e1dd,Senior Contributor,152,56.7,28,7,29,2025-10-30T20:33:44.197608,2013-05-24T20:33:44.197610,2025-11-17T20:33:44.197611
11b0c023-60d3-3839-9a7d-14fc2e8df51b,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,5bd79c11-1f6b-45c7-8e71-27911410fe55,dbfcd17c-54e3-485d-9f89-f20ee8960992,Director,109,41.7,20,5,31,2025-11-11T20:33:44.197623,2016-12-04T20:33:44.197624,2025-11-17T20:33:44.197626
9ee0fbb4-49e6-f019-a5d1-c82cb6b4ce26,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,cf9519f5-92ec-45a6-90fa-06b83a4f0bed,db95f833-03e6-4568-92bb-19c7f9b2b59f,Director,137,56.8,38,22,17,2025-10-31T20:33:44.197640,2014-08-17T20:33:44.197647,2025-11-17T20:33:44.197649
c5841f39-0dae-abdd-e3b7-68722baf65a6,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,608513f1-0dde-4227-ab3f-13865381afed,7ed0f364-34b4-4648-977a-e35b42e161a6,Manager,82,45.1,46,13,31,2025-10-31T20:33:44.197669,2019-02-22T20:33:44.197671,2025-11-17T20:33:44.197672
1fbd0039-f957-1d04-83ca-52c9a9df2806,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,8c802c61-3bef-4c64-8842-37a093ebd2f5,4d3fd16e-48a9-479b-9754-a05979cd8a73,VP,113,66.9,1,2,18,2025-11-10T20:33:44.197685,2016-08-06T20:33:44.197687,2025-11-17T20:33:44.197688
66036b95-9d6f-4d20-286d-85562f5ab51b,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,60230a8d-1608-434c-b149-8dbca9a7301c,cda7dbb5-23c3-46bc-9a59-578745d8688b,Senior Manager,113,79.8,23,15,35,2025-11-01T20:33:44.197699,2016-08-06T20:33:44.197701,2025-11-17T20:33:44.197703
3bbbd33b-929f-b2b5-1e2b-5dd8f12ed5f8,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,cf9519f5-92ec-45a6-90fa-06b83a4f0bed,ac782b1f-ffef-40a7-a995-ff104886faaa,C-Level,67,59.8,44,14,17,2025-11-08T20:33:44.197714,2020-05-17T20:33:44.197715,2025-11-17T20:33:44.197717
dd8ac026-af7b-0fa8-11cc-658f96dcd359,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,ed2e361d-08cf-4d89-8eb7-02052e17e7b4,681062f1-af28-4702-824b-1d634dd1c1dc,Manager,40,58.9,47,17,11,2025-11-11T20:33:44.197728,2022-08-05T20:33:44.197730,2025-11-17T20:33:44.197731
