id,name,industry,employeeCount,foundedYear,healthScore,engagementScore,alignmentScore,retentionRate,createdAt,updatedAt
1a50d0f7-eedc-4f49-9ea1-3807bebd9947,PrimeSolutions,Manufacturing,479,1997,67.8,80.8,81.7,93.4,2025-09-04T20:33:44.196234,2025-11-17T20:33:44.196249
14ce0afd-539f-4aef-b356-cb0d114c156f,SummitIndustries,Healthcare,115,1996,68.1,76.1,78.0,90.7,2025-01-12T20:33:44.196283,2025-11-17T20:33:44.196287
73b8f40c-8497-4466-9fa2-3e7d49686bf1,QuantumEnterprises,Manufacturing,4913,2015,90.4,81.6,65.1,86.3,2025-05-29T20:33:44.196313,2025-11-17T20:33:44.196316
16515368-eaa7-4613-9890-9e32f0aeb2ba,CloudEnterprises,Healthcare,1209,2002,63.4,84.7,79.3,92.1,2025-02-25T20:33:44.196347,2025-11-17T20:33:44.196350
497bcb7e-9da5-40e5-8031-e847512b8e93,ApexSolutions,Nonprofit,2822,1999,89.0,76.6,87.6,88.7,2025-09-13T20:33:44.196371,2025-11-17T20:33:44.196373
6031510e-9ab6-4a91-8041-36d78c7abedb,TechEnterprises,Retail,1163,2017,63.5,64.7,80.3,85.5,2025-04-12T20:33:44.196384,2025-11-17T20:33:44.196387
09713e14-8a54-474e-a48a-64a44426ede0,FutureEnterprises,Healthcare,2437,2009,82.2,73.7,67.8,86.9,2025-06-02T20:33:44.196398,2025-11-17T20:33:44.196400
4ed7866c-d31b-42aa-8b74-5094e869c4d3,PrimeVentures,Professional Services,850,2016,86.9,57.0,86.3,92.1,2025-03-27T20:33:44.196416,2025-11-17T20:33:44.196419
543ad69e-2c6c-47b8-b2c1-b4a2238a5985,NextSolutions,Media & Entertainment,967,2018,85.1,62.4,76.0,93.3,2024-11-23T20:33:44.196430,2025-11-17T20:33:44.196433
bc233657-babe-4732-b78f-26e216b55361,NovaTechnologies,Retail,1285,2013,79.6,64.2,78.7,93.5,2025-03-28T20:33:44.196443,2025-11-17T20:33:44.196445
567c5c32-9f20-4cb6-9ef2-db2cc27266a5,FutureEnterprises,Government,760,1992,86.5,85.1,64.9,82.4,2025-03-16T20:33:44.196454,2025-11-17T20:33:44.196456
f856ace8-12a1-4915-96b4-b915acb7f177,SummitSolutions,Media & Entertainment,4063,2004,78.5,89.0,87.5,80.2,2025-08-21T20:33:44.196466,2025-11-17T20:33:44.196468
271c5fe7-9739-419b-9031-53df2444ec52,PrimeVentures,Professional Services,2312,1993,70.3,60.5,60.1,90.8,2025-06-06T20:33:44.196477,2025-11-17T20:33:44.196479
06f99088-7e28-432c-b060-7420064cdb73,ApexTechnologies,Manufacturing,5871,2016,82.4,76.3,64.9,91.4,2025-01-15T20:33:44.196492,2025-11-17T20:33:44.196497
f87be78c-30bd-4c50-b424-6bdf3a6902b1,GlobalVentures,Professional Services,406,2005,60.7,87.5,88.1,92.5,2025-05-14T20:33:44.196507,2025-11-17T20:33:44.196509
c37805f3-0cfa-4cf7-9328-d9b9514cfa0e,SmartSystems,Media & Entertainment,949,2020,62.8,80.6,86.1,94.7,2025-01-19T20:33:44.196519,2025-11-17T20:33:44.196521
bcf20639-4502-44da-9159-c857efba54c0,GlobalTechnologies,Government,837,2020,79.2,64.3,87.9,86.3,2025-07-02T20:33:44.196533,2025-11-17T20:33:44.196535
921471e5-440b-43b6-b0a8-66de633bd0f2,ApexEnterprises,Professional Services,1817,2004,91.5,70.8,67.9,81.0,2025-10-08T20:33:44.196545,2025-11-17T20:33:44.196547
df2b6147-118d-4f62-b719-a077a69bf8bc,SummitVentures,Retail,801,1990,62.5,77.1,67.3,93.6,2025-05-02T20:33:44.196556,2025-11-17T20:33:44.196558
a1fd2ec2-6c83-478c-97a5-d9140fce1b05,DigitalVentures,Government,642,1996,78.9,80.3,88.2,88.6,2025-06-16T20:33:44.196566,2025-11-17T20:33:44.196574
e0d4c03d-9843-429e-a685-8efbd726dab3,GlobalPartners,Healthcare,3279,1993,83.1,67.4,73.2,93.0,2025-09-21T20:33:44.196584,2025-11-17T20:33:44.196586
ac722a25-e4f0-4609-b4dd-14a13dfead9f,PrimeSolutions,Professional Services,306,2015,90.2,63.7,66.1,86.7,2025-03-16T20:33:44.196595,2025-11-17T20:33:44.196597
34e4bbed-be9a-4e32-a676-9d1883ce1bbe,CloudGroup,Healthcare,3523,2004,88.3,85.0,63.1,89.8,2025-01-15T20:33:44.196609,2025-11-17T20:33:44.196611
b2507ebb-d326-47be-be1e-9a09a01657fa,UnitedSystems,Retail,485,1995,74.2,71.8,87.7,93.5,2025-07-26T20:33:44.196623,2025-11-17T20:33:44.196625
7dee464b-5344-4ca6-a355-8ed45977834d,QuantumSystems,Government,3586,1999,74.8,88.5,91.9,88.3,2025-02-11T20:33:44.196637,2025-11-17T20:33:44.196639
606e1379-5df9-496e-b973-4d51acfa5de8,CloudEnterprises,Technology,1445,2008,85.8,57.1,70.0,80.8,2025-02-16T20:33:44.196652,2025-11-17T20:33:44.196654
6c1f1815-ec02-43eb-91bf-a44446b6aa14,ApexVentures,Nonprofit,529,1992,89.8,57.4,62.2,92.9,2025-03-26T20:33:44.196669,2025-11-17T20:33:44.196671
387b2a28-4445-46d0-85c5-a4fd58635e66,DigitalLabs,Media & Entertainment,796,1991,81.7,69.7,78.7,87.8,2025-06-07T20:33:44.196681,2025-11-17T20:33:44.196683
a6914b19-adbb-465e-ac02-caaa50eedb0f,SmartCorporation,Education,635,1994,83.5,65.5,70.1,91.3,2025-09-11T20:33:44.196700,2025-11-17T20:33:44.196702
5d5c6f21-13c1-4cbc-9dc1-c67f14247847,TechPartners,Healthcare,9612,1992,78.8,72.7,64.2,85.2,2025-09-13T20:33:44.196713,2025-11-17T20:33:44.196715
